rplayers_name,rteams_name,replay_count,hits,passes,assists,dribbles,shots,shots_ot,goals,assisted_goals,saves,failed_saves,hitdist,_50s,shotdist,shot_otdist,blocked_shots,hitvel,shotvel
Metsanauris,Team Secrecy,11,337,88,3.0,32,44,30,10,4.0,19,,3172.0925068711617,88,3021.510728815811,3228.992277304948,15,95.51169199988576,104.11942672261658
Mognus,Team Secrecy,11,396,88,5.0,44,39,27,5,2.0,23,2.0,3322.356076028913,91,3521.199332994114,3233.6938881295764,5,96.20210283859943,111.54127470241899
al0t,Team Secrecy,11,317,75,1.0,37,23,15,5,3.0,20,,3214.3971575574933,70,3242.068883074709,3238.5299962068934,5,92.30766779749555,105.03189410757841
MummiSnow,PENTA Sports,9,303,70,,28,17,7,4,1.0,20,1.0,2927.8304737700487,74,3721.239011537062,3319.885126841423,2,85.16656041071833,107.57121294985717
FreaKii,PENTA Sports,18,585,142,5.0,54,59,42,5,1.0,31,1.0,3300.3318029879624,128,3132.8327868096558,2964.4882664591323,11,95.4898495479514,107.93620688841467
Killerno7,PENTA Sports,18,564,152,,47,59,36,12,6.0,30,1.0,3012.894435729893,148,2635.7850797631795,2282.3250900478542,10,89.70245444074253,99.57796183605284
Pwndx,PENTA Sports,9,266,77,3.0,34,21,17,5,,17,,3274.813540631988,42,2999.5480127635205,2947.0955853025853,3,94.13961111380972,117.79562787055882
JKnaps,G2,7,256,65,3.0,30,24,18,3,1.0,8,,2953.440849945549,53,1752.4339192962098,1637.036480363792,6,93.284222368286,103.26118648609793
Rizzo,G2,7,219,50,,21,20,15,4,3.0,16,,2825.129224880192,49,2741.1321653950895,2637.3264533770994,1,88.42818897734806,106.89398460505474
Kronovi,G2,7,248,61,1.0,27,28,23,1,,13,1.0,3182.621566667905,57,3218.4906933977113,3155.2602195190543,6,87.53701517538016,101.61656013356901
Matt,Atelier,13,388,103,5.0,37,40,26,4,2.0,28,,3324.0206148834864,87,3124.701167647284,2222.6689695371006,8,96.49203629566931,101.03233797046444
Sizz,Atelier,13,429,94,2.0,54,26,16,8,4.0,19,,3095.893816655056,96,2330.272363125743,2491.4490498002833,3,90.07586407709664,99.68207151154026
Turtle,Atelier,13,414,81,3.0,50,43,35,11,4.0,19,,2992.862803841395,94,2643.583957851903,2348.209801492909,7,85.36801740536802,97.0829363998802
Nielskoek,Cow Nose,17,476,99,3.0,48,59,39,15,4.0,20,1.0,3296.5678329164843,113,3247.9036157101286,3062.476498691397,8,91.73418841186921,107.07239808523623
Zensuz,Cow Nose,17,508,124,3.0,59,51,33,7,2.0,39,2.0,3067.0066782682625,120,2963.6354296669683,2700.2018968323237,10,89.12137257962051,102.35342890466687
Danzhizzle,Cow Nose,17,478,106,2.0,50,47,32,5,2.0,20,,3212.5564930452924,102,2877.8132954365074,2534.694677028132,8,93.62046613683765,99.99778612247526
Mijo,Selfless,18,560,155,2.0,53,66,44,16,8.0,26,1.0,3546.635834326434,118,2585.8320817967556,2506.3763432223104,9,94.41621277508075,101.1431318566784
Pluto,Selfless,4,160,47,3.0,22,11,7,1,,7,1.0,3067.95749755876,35,2826.8166711171725,1684.9451436571674,3,91.71277699087281,112.68338098807926
Timi,Selfless,18,607,129,5.0,90,74,52,7,4.0,28,,3137.590095812996,134,2825.983384093878,2415.0156666520757,15,92.02570944453304,100.3771059953186
Dappur,Selfless,14,446,101,4.0,41,49,36,9,2.0,20,,3101.9659863402144,126,2631.5376106533477,2220.0741333126216,12,93.85576405529885,102.6404428812197
Lemonpuppy,Radiance,14,438,90,,52,31,20,7,3.0,20,2.0,3159.011674064132,98,3694.383288395083,3334.650979844811,1,90.78419092355844,111.42312052833428
Halcyon,Radiance,14,419,85,2.0,38,46,33,4,,31,2.0,3164.0179925672196,103,3420.052064830427,3095.822771155491,11,93.96616827059408,105.32549650441544
Memory,Radiance,14,421,96,1.0,39,30,18,3,,35,2.0,3494.708472452502,84,3605.4552532706994,3004.84359065174,2,91.89377489616787,106.79107910540705
Espeon,Take 3,11,343,80,1.0,51,44,31,7,,11,,3009.960423537574,77,3106.421114966533,3030.1771301238073,7,85.1006157567822,103.28680526653825
Zanejackey,Take 3,11,314,68,,43,20,12,4,2.0,8,1.0,3139.219425959618,65,2634.75104683678,2600.4394351924407,3,89.22097047400513,97.56290354538825
Vince,Take 3,11,334,90,1.0,41,30,25,3,,13,1.0,3165.98128598146,63,2830.1646016319855,2877.882403295326,5,94.9052782396149,106.2623054339708
Insolences,Genesis,11,382,102,2.0,50,28,20,4,3.0,18,2.0,3076.558768715282,89,2836.2453257010043,2634.8357443177424,5,89.90460885909125,100.91357791932585
Chrome,Genesis,11,339,90,3.0,30,38,22,5,2.0,19,,3428.346378812808,82,2962.2024998576317,2878.0468413738804,7,93.18639204663829,101.79302261955266
Klassux,Genesis,11,425,78,2.0,55,38,18,3,2.0,24,1.0,2916.0459894322385,99,2829.9560585714635,2262.805539835052,6,88.1749983070528,100.56531092159402
Lethamyr,Denial,10,369,68,1.0,49,27,22,4,1.0,17,,3087.8119195220943,90,2565.6495758818573,2266.545101450535,7,87.97391123139519,99.08266755261945
CorruptedG,Denial,10,323,74,1.0,41,22,16,3,1.0,24,1.0,2915.519563956108,73,2527.4644203148646,2211.634869937051,6,88.91810385769699,101.61175710125585
Sadjunior,Denial,10,284,84,1.0,29,23,11,3,1.0,20,,3242.6275539851463,69,3888.730499415024,3385.5615521568957,3,93.30817439708939,105.97599442184915
Deevo,Northern Gaming,8,241,63,4.0,29,35,24,7,4.0,9,,3241.619971455095,56,3039.232951812381,2103.0281303270513,7,97.25405433226742,107.67718802518056
Remkoe,Northern Gaming,8,237,54,2.0,21,22,14,3,3.0,10,1.0,3407.5084461668266,55,2804.0009284228136,2773.162163850811,5,94.90437277597722,101.13259999554285
Maestro,Northern Gaming,8,265,47,3.0,29,29,23,4,2.0,20,,3205.589419047674,57,2830.6975526404117,2391.2825896519216,1,94.80603925989091,106.25837170241212
Snaski,The Leftovers,10,349,82,,35,24,14,2,1.0,24,1.0,3165.7350181818933,88,2921.047071181758,2447.929465941717,3,87.55242441378113,99.67040756281922
Ferra,The Leftovers,10,301,76,2.0,25,42,28,10,4.0,16,,3206.882420394861,64,3125.5203733041362,3068.7023565545433,7,96.68581184461134,106.18831310850149
Sikii,The Leftovers,10,303,88,5.0,31,31,20,6,2.0,21,,3273.442484839105,55,3517.257049247963,3010.197085677005,5,92.63295532729755,112.17681907369408
